Gene,C,Z,Pval,FDR,Module
AC005954.1,0.056195473296937484,3.7163924745415358,0.00010104379295857195,0.00011992372564940792,
ZNF678,0.03378179385294106,3.7145533631248604,0.00010178145579079566,0.00012078961604302804,
SAC3D1,0.05403443051329611,3.7141570274196387,0.00010194108619410393,0.00012096944062480239,
AC108134.3,0.05038071746233462,3.7115563632872255,0.00010299439323415808,0.00012220964290987897,
QPCTL,0.07832036670543734,3.7107650776260126,0.00010331689840650098,0.0001225825723323933,
ZNF22,0.03722027569924126,3.7101358228404426,0.00010357404129680378,0.000122877898143172,
PSMC3,0.04196137155361058,3.7092077193181274,0.00010395440509560867,0.00012331935189240645,
IDUA,0.02926803364102898,3.709087127483313,0.00010400392333263819,0.00012336829017691435,
RWDD2A,0.08139215392356423,3.7066772263993153,0.00010499815047431351,0.0001245377347739434,
AC243772.3,0.053198531334590134,3.704556061342685,0.00010588063614250308,0.00012557446811529822,
AL355987.2,0.0696282914185141,3.704370330395888,0.00010595823805583172,0.0001256565201763248,
HCFC1R1,0.03873547131860293,3.704289492623291,0.00010599203029080273,0.00012568660916355357,
CENPBD1,0.05075437076277692,3.7042636198525147,0.00010600284790162629,0.00012568945195230564,
MCM2,0.08384134016509506,3.7037355869383104,0.00010622384928958208,0.00012594149311720348,
ANKRD23,0.05483764357299192,3.7033631512311804,0.00010637998760930135,0.00012611659717608144,
AL023574.1,0.04856635710671584,3.7019921857836375,0.00010695660402785834,0.00012679012296091497,
TMEM97,0.06111938765257704,3.700131933505531,0.00010774370440389661,0.000127713037055266,
FRAT1,0.038852758899801464,3.6998469114342583,0.0001078647809000997,0.00012784640181799176,
TLE3,0.027457429378214854,3.6995286072740967,0.00010800014652432533,0.0001279966802039384,
HSCB,0.04993216634764373,3.6960583976929238,0.00010948631260203616,0.00012974771262389597,
SNAI3-AS1,0.035056936905144026,3.69580122736754,0.00010959721015192662,0.00012986882241309905,
AC133550.1,0.050516433439162095,3.6939382584907987,0.00011040371832479578,0.00013081412156169445,
BTK,0.0466450474984691,3.693702584621508,0.00011050614130066999,0.00013092508700651646,
AC104699.1,0.0462020905440033,3.6929775967386758,0.00011082177786893364,0.00013128862525790258,
EPB41L4A-AS1,0.036808436411214354,3.6908219595932326,0.00011176528018836264,0.00013239586837327904,
ANKRA2,0.035572387374173266,3.687163051773133,0.00011338403240961656,0.0001343027655751743,
A1BG,0.04902047770796574,3.686203001785125,0.00011381240215482775,0.0001347994705201233,
HMGCR,0.04915930114694699,3.6859131555423206,0.00011394202840296654,0.00013494229276190745,
PNPT1,0.046391634955840255,3.68532518973091,0.00011420540669896997,0.0001352434832047223,
