encoding,name,description,country,director,actor,vote,score,year,link
tt0059855,大闹天宫,"话说在东土傲来国有一座花果山，山上有一尊石猴吸收日精月华化身为一只神猴（邱岳峰 音），统领着山中的猴子猴孙。为求得一件称心的宝贝，神猴孙大圣潜入龙宫，强硬求来大禹治水时的定海神针如意金箍棒。东海龙王（..."" ", 中国大陆,万籁鸣,"'邱岳峰', '富润生', '毕克', '尚华', '于鼎'",397889人评价,9.4,1961,https://movie.douban.com/subject/1418019/
tt0097165,死亡诗社,, 美国,彼得·威尔,"'罗宾·威廉姆斯', '罗伯特·肖恩·莱纳德', '伊桑·霍克', '乔西·查尔斯', '盖尔·汉森'",659715人评价,9.1,1989,https://movie.douban.com/subject/1291548/
tt0071562,教父2,"迈克尔（阿尔·帕西诺 饰）是美利坚黑手党科利昂家族的头目。 迈克尔的父亲维托·安多里尼（罗伯特·德尼罗 饰）出生于意大利科利昂镇。1901年，维托的父亲安东尼奥、兄长保罗、母亲（玛丽亚·卡塔 饰）都死..."" ", 美国,弗朗西斯·福特·科波拉,"'阿尔·帕西诺', '罗伯特·杜瓦尔', '黛安·基顿', '罗伯特·德尼罗', '约翰·凯泽尔'",506957人评价,9.3,1974,https://movie.douban.com/subject/1299131/
tt6966692,绿皮书,"托尼（维果·莫腾森 Viggo Mortensen 饰）是一个吊儿郎当游手好闲的混混，在一家夜总会做侍者。这间夜总会因故要停业几个月，可托尼所要支付的房租和生活费不会因此取消，所以他的当务之急是去寻找..."" ", 美国 ,彼得·法雷里,"'维果·莫腾森', '马赫沙拉·阿里', '琳达·卡德里尼', '塞巴斯蒂安·马尼斯科', '迪米特·D·马里诺夫'",1510641人评价,8.9,2018,https://movie.douban.com/subject/27060077/
tt3404140,辩护人,"1978年，只有高中学历的宋佑硕（宋康昊 饰）通过多年的艰苦努力，终于通过司法考试，并在成为法官后很快转行成为一名律师。他敏锐地从最新政策中嗅到商机，以不动产代书业务起家。虽然被同行讥讽为随时随地派发..."" ", 韩国,杨宇硕,"'宋康昊', '金英爱', '吴达洙', '郭度沅', '任时完'",553476人评价,9.2,2013,https://movie.douban.com/subject/21937445/
tt0110357,狮子王,, 美国,罗杰·阿勒斯,"'乔纳森·泰勒·托马斯', '马修·布罗德里克', '杰瑞米·艾恩斯', '詹姆斯·厄尔·琼斯', '莫伊拉·凯利'",776756人评价,9.1,1994,https://movie.douban.com/subject/1301753/
tt0137523,搏击俱乐部,, 美国 ,大卫·芬奇,"'爱德华·诺顿', '布拉德·皮特', '海伦娜·伯翰·卡特', '扎克·格雷尼尔', '米特·洛夫'",791629人评价,9.0,1999,https://movie.douban.com/subject/1292000/
tt0111797,饮食男女,"台湾中国菜硕果仅存的大师老朱（郎雄）退休后，渐尝老年生活的诸多尴尬：每周日费心做出的一桌丰盛菜肴，并无将三个女儿（杨贵媚、吴倩莲、王渝文）齐齐拉到饭桌的吸引力，已经长大成人的她们，心里藏了许多比陪父亲..."" ", 中国台湾 ,李安,"'郎雄', '杨贵媚', '吴倩莲', '王渝文', '张艾嘉'",570014人评价,9.2,1994,https://movie.douban.com/subject/1291818/
tt0268978,美丽心灵,, 美国,朗·霍华德,"'罗素·克劳', '艾德·哈里斯', '詹妮弗·康纳利', '克里斯托弗·普卢默', '保罗·贝坦尼'",717050人评价,9.1,2001,https://movie.douban.com/subject/1306029/
tt0421715,本杰明·巴顿奇事,"飓风正在侵袭美国新奥尔良，一位病危的老妇睁开了她的睡眼。老妇名叫戴茜（凯特·布兰切特饰），她叫女儿凯若琳（朱莉娅•奥蒙德饰）为她阅读一本日记。这本日记的作者叫本杰明•巴顿（布拉德•皮特饰）。本杰明出生..."" ", 美国,大卫·芬奇,"'凯特·布兰切特', '布拉德·皮特', '朱莉娅·奥蒙德', '芳妮·A·钱勃丝', '伊莱亚斯·科泰斯'",919336人评价,9.0,2008,https://movie.douban.com/subject/1485260/
