Gene,C,Z,Pval,FDR,Module
SALL2,-0.00144634283466743,-0.5524941599639102,0.7096950827428515,0.845257132225445,
UCKL1,-0.0011939097498387726,-0.5527655251461963,0.7097880109327351,0.845257132225445,
INO80B,-0.004273280550933788,-0.5527854594494712,0.7097948368253919,0.845257132225445,
TSACC,-0.0011433697664216395,-0.5529146213539337,0.7098390625477446,0.845257132225445,
LZTS2,-0.0031807719881698218,-0.553021181178365,0.709875546820187,0.845257132225445,
AP001922.1,-0.0007903112180384981,-0.5532561315575181,0.7099559822395023,0.845257132225445,
AC004522.4,-0.000725265327391997,-0.5534196229335205,0.7100119474527442,0.845257132225445,
LINC02429,-0.0010445318040326235,-0.5534274486801949,0.7100146261801024,0.845257132225445,
AC009313.1,-0.0029830781459712027,-0.5535258849038253,0.7100483195850329,0.845257132225445,
MARVELD3,-0.002454568109081511,-0.5535853061247868,0.7100686577869592,0.845257132225445,
ATP13A5,-0.001090963871902227,-0.5536325140930342,0.710084815261318,0.845257132225445,
AL158154.2,-0.0010348263719701968,-0.5536441653228349,0.7100888029648045,0.845257132225445,
CYP4F29P,-0.001980083025522079,-0.5537963412652004,0.7101408837343326,0.845257132225445,
LRWD1,-0.004026638911290453,-0.5538088048905452,0.710145149097174,0.845257132225445,
PKNOX1,-0.0015089164301055238,-0.554063893622926,0.710232440342934,0.845257132225445,
C6orf141,-0.0018432047420650253,-0.5547870886350917,0.7104798502617194,0.845257132225445,
AC011497.2,-0.0006896662903977242,-0.5547914985361856,0.7104813586144496,0.845257132225445,
AC009533.1,-0.0028470201992663005,-0.5548726657767584,0.710509120217242,0.845257132225445,
CARNS1,-0.0027068191683716335,-0.5548769469350521,0.7105105844655988,0.845257132225445,
AC018648.1,-0.0007422085346368351,-0.554934906488882,0.7105304075391972,0.845257132225445,
NSG2,-0.0009213945182990553,-0.5549571191199961,0.7105380044373363,0.845257132225445,
AL162717.1,-0.0008633752276047956,-0.5551701508479351,0.7106108582420619,0.845257132225445,
SCGB3A2,-0.001208436680606323,-0.5551872073759889,0.7106166909582564,0.845257132225445,
AC015923.1,-0.0013430503928533034,-0.5553023986189286,0.710656080754336,0.845257132225445,
AC016134.1,-0.0005047804620187781,-0.5555023844598932,0.7107244601896584,0.845257132225445,
FUNDC1,-0.0017610979838758307,-0.5555852272902562,0.7107527836998628,0.845257132225445,
