Gene,C,Z,Pval,FDR,Module
REEP3,0.02974891555333181,1.7269204870653403,0.042090972257750325,0.056323286233898144,
EIF3H,0.037107211139266134,1.7259904802146722,0.0421745627029851,0.056424452828387636,
TATDN3,0.03605678696857484,1.7258101871487537,0.042190783256271375,0.05643546542743817,
CPSF7,0.0262490559182677,1.7256898903505231,0.042201608890675306,0.05643925884205422,
KCTD9,0.07158844543969674,1.724908321897568,0.04227199780276883,0.0565209670262275,
ENGASE,0.0537391160141475,1.7247857925341328,0.04228304153982913,0.0565209670262275,
BIRC3,0.06242802266473252,1.7247451106682334,0.04228670876749891,0.0565209670262275,
MTHFR,0.015055158438997992,1.7244411964780155,0.04231411296223565,0.05654689632335086,
ARIH2,0.037439615970183575,1.7237294350622765,0.04237834930809654,0.05662202752267712,
TESK2,0.15988501368240984,1.7234681466587887,0.0424019503265981,0.05664284741056902,
GALNT11,0.04522901880090261,1.7222503825738757,0.04251208581323072,0.056760861192809244,
SS18L1,0.025666878815112232,1.7222020041872454,0.04251646596376856,0.056760861192809244,
ELL,0.03795360026279109,1.7221753250616838,0.042518881632156565,0.056760861192809244,
MOSPD2,0.029190750321104325,1.72213608851023,0.04252243451760285,0.056760861192809244,
PPP3R1,0.08145719919551611,1.7216954466869308,0.042562351301348944,0.05680341008742281,
DFFA,0.05743570757837649,1.7215405427251598,0.04257639091011186,0.05681141393823766,
P2RX4,0.03956420478001493,1.720978869413788,0.04262732917408376,0.05686864084716292,
PUS7L,0.02331870891156739,1.720832941419464,0.04264057147355327,0.05687556587786637,
TSPO,0.0879680799073807,1.7205526865910827,0.04266601264751669,0.05689875653049988,
EVI2B,0.03627641200160828,1.719536459752476,0.04275836736184049,0.057009748178381406,
BAG1,0.048885724730528615,1.7194593510108642,0.04276538159643871,0.057009748178381406,
C1RL-AS1,0.044611016775165734,1.718203573656567,0.04287974496958607,0.057151418578331316,
SH3PXD2B,0.020910035771812874,1.717543685406241,0.04293993983771618,0.05722085172866008,
FURIN,0.05199139413855276,1.717419244509566,0.04295129895895429,0.05722519348284669,
